"ID","Name","Title","Role","Origin","Current identity / powers","Current movement","Declared speed","Flight tier","Flight tier basis","Current flight visual","Current evade / sprint","Current movement extras","Current body model","Current frame (derived)","Current model (resolved defaults)","Current build / gear","Current carried items","Current colors","Current threat","Current strength","Current power-up","Current abilities","Before front","Before rear","Before archive commit","After status","Desired look / silhouette","Desired hair / face","Desired costume","Desired emblem","Desired colors / materials","Desired gear","Desired sprint animation","Desired flight animation","Desired infected identity","Desired power visuals","Design approval","Animation approval","Reviewer notes","After evidence link","Definition source","Appearance source","Scope"
"talon","TALON","The First Sidekick to Outgrow the Shadow","Acrobat Duelist","skilled","Raised in a circus, trained by the night. Two sticks, zero fear, unreasonable hang-time.","Combat leap","40","0","Explicit source","martial","{""kind"":""leap"",""name"":""Quadruple Somersault"",""up"":44,""fwd"":66}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""band"":1,""weaponL"":""knife"",""weaponR"":""knife""}","[{""kind"":""medkit"",""name"":""Circus Kit"",""cd"":9,""heal"":36,""charges"":2}]","{""primary"":""#2d2b47"",""secondary"":""#2415a0"",""accent"":""#46cbff"",""skin"":""#e8c39a""}","Low","5","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Flow State"",""cost"":20,""cd"":16,""mult"":1.45,""dur"":9,""color"":""#37c7ff"",""color2"":""#fff""}}","LMB: Escrima Cross (melee)
RMB: Flying Grayson (rush)
Q: Wing-Ding Fan (volley)
E: Staff Sweep (melee)
SHIFT: Tumbler (dash)","../marketing/roster-before-rebuild/talon-front.png","../marketing/roster-before-rebuild/talon-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"abeo","ABEO","Shield of the Hand","Metal Bodyguard","mutated","COF canon: Hand of Uganda LSW bodyguard. Living metal. Stands between the president and everything.","Combat leap","27","0","Explicit source","thruster","{""kind"":""leap"",""name"":""Iron Bound"",""up"":40,""fwd"":58}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""plated"",""flightStyle"":""thruster"",""hairColor"":""#17242b"",""definition"":0.2}","{""helmet"":1,""pauldron"":2,""gaunt"":1}","Not declared","{""primary"":""#4b6468"",""secondary"":""#f7461b"",""accent"":""#ffdb81"",""skin"":""#5a3a28""}","High","9","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Tempered Oath"",""cost"":22,""cd"":18,""mult"":1.45,""dur"":10,""heal"":30,""color"":""#ffd97a"",""color2"":""#fff""}}","LMB: Iron Palm (melee)
RMB: Shockwave Stomp (cone)
Q: Shrapnel Fist (projectile)
E: Guard Break (melee)
SHIFT: Bulwark Rush (dash)
R: Foundation Breaker (charge)","../marketing/roster-before-rebuild/abeo-front.png","../marketing/roster-before-rebuild/abeo-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"jelani","JELANI","Spear of the Hand","Strength-Speed","altered","COF canon: Hand of Uganda bodyguard. Strength AND speed — the combination treaties were written about.","Ground","46","0","Explicit source","martial","{""kind"":""sprint"",""name"":""Warpath"",""mult"":1.85,""dur"":1.4}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""band"":1,""gaunt"":1}","Not declared","{""primary"":""#f6052e"",""secondary"":""#313f4a"",""accent"":""#ffb649"",""skin"":""#5a3a28""}","High","9","Not declared","LMB: Piston Blow (melee)
RMB: Blur Assault (rush)
Q: Sonic Wake (cone)
E: Spear Tackle (melee)
H: Second Wind (buff)
SHIFT: Afterburn (dash)
R: A Hundred Hands (rush)","../marketing/roster-before-rebuild/jelani-front.png","../marketing/roster-before-rebuild/jelani-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"kamaria","KAMARIA","Veil of the Hand","Phasing Guardian","mutated","COF canon: Hand of Uganda bodyguard. Assassins' blades pass through her; hers do not return the courtesy.","Levitation","36","2","Explicit source","martial","{""kind"":""phase"",""name"":""Through the Veil""}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""hood"":1,""collar"":1}","Not declared","{""primary"":""#01a1bc"",""secondary"":""#2b3247"",""accent"":""#86e7ff"",""skin"":""#5a3a28""}","High","5","Not declared","LMB: Veiled Edge (melee)
RMB: Untouchable (phase)
Q: Veil Step (teleport)
E: Phase Bolt (projectile)
H: Half-Here (buff)
SHIFT: Slip Veil (dash)
R: Ten Veils (rush)","../marketing/roster-before-rebuild/kamaria-front.png","../marketing/roster-before-rebuild/kamaria-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"ramiro","RAMIRO","The Clown-Sheriff","Cartel Hunter","skilled","COF canon: a heavyset cop in clown makeup who terrorizes the cartels one district at a time. ""My son has to go home.""","Ground","31","0","Explicit source","martial","{""kind"":""dash"",""name"":""Lawman's Roll""}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""coat"":1,""band"":1,""weaponR"":""shotgun""}","[{""kind"":""flashbang"",""name"":""Flash Rounds"",""cd"":10,""radius"":26,""charges"":2}]","{""primary"":""#2a56f0"",""secondary"":""#e6e0ce"",""accent"":""#ff6657"",""skin"":""#d8b088""}","Moderate","6","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""My Son Goes Home"",""cost"":20,""cd"":18,""mult"":1.5,""dur"":10,""heal"":35,""color"":""#ff5a4a"",""color2"":""#fff""}}","LMB: Riot Scattergun (rifle)
RMB: Service Revolver (rifle)
Q: Nightstick (melee)
E: Gas Canister (projectile)
SHIFT: Duck & Cover (dash)
R: Backup Called (summon)","../marketing/roster-before-rebuild/ramiro-front.png","../marketing/roster-before-rebuild/ramiro-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"jawah","JAWAH MATU","The Silence","Sound Absorber","mutated","COF canon: absorbs sound through exposed skin. Your scream, your gunshot, your charge-up roar — he eats them all and grows stronger.","Ground","34","0","Explicit source","martial","{""kind"":""phase"",""name"":""Soundless Step""}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""hood"":1,""collar"":1}","Not declared","{""primary"":""#3d4c5d"",""secondary"":""#d9cebc"",""accent"":""#92e68d"",""skin"":""#5a3a28""}","High","5","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Stored Decibels"",""cost"":22,""cd"":16,""mult"":1.55,""dur"":9,""color"":""#8fe08a"",""color2"":""#fff""}}","LMB: Absorption Field (cone)
RMB: Dead-Air Palm (melee)
Q: Null Wave (projectile)
E: Returned Thunder (cone)
SHIFT: Hush (dash)
R: EVERY SOUND AT ONCE (charge)","../marketing/roster-before-rebuild/jawah-front.png","../marketing/roster-before-rebuild/jawah-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"moses","MOSES APIO","The Atlas Protocol","Symbiont Host","symbiotic","COF canon: a young Mbarara mechanic bonded to the Atlas Protocol symbiont — it watches, it regenerates, it reaches.","Limited flight","35","1","Explicit source","martial","{""kind"":""phase"",""name"":""Symbiont Shift""}","{}","Not declared","{""scale"":1.06,""bulk"":1.15,""broad"":1.13,""head"":0.94,""neck"":1.18,""stance"":1.09}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""horns"":1,""crest"":1,""gaunt"":1}","Not declared","{""primary"":""#28bb39"",""secondary"":""#2b3247"",""accent"":""#a4ff65"",""skin"":""#5a3a28""}","High","7","Not declared","LMB: Atlas Tendrils (tentacle)
RMB: Symbiont Fist (melee)
Q: Protocol Surge (rush)
E: Bio Spike (projectile)
H: Regenerative Bond (buff)
SHIFT: Adaptive Slip (dash)","../marketing/roster-before-rebuild/moses-front.png","../marketing/roster-before-rebuild/moses-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"dune","DUNE","The Walking Sahara","Sand Shaper","mutated","Original: every grain within a mile answers to him. Walls, fists, storms — the desert is a toolbox.","Ground","30","0","Explicit source","martial","{""kind"":""slide"",""name"":""Dune Surf"",""slideT"":0.65,""power"":126}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""collar"":1,""band"":1}","Not declared","{""primary"":""#f7741b"",""secondary"":""#b25c37"",""accent"":""#ffe8bf"",""skin"":""#c9915a""}","Moderate","6","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Hardpack"",""cost"":22,""cd"":18,""mult"":1.45,""dur"":10,""heal"":25,""color"":""#ffe8c0"",""color2"":""#fff""}}","LMB: Sandblast (cone)
RMB: Sand Rampart (construct)
Q: Fist of the Waste (projectile)
E: Dust Sentry (construct)
SHIFT: Grain Drift (dash)
R: SANDSTORM (meteor)","../marketing/roster-before-rebuild/dune-front.png","../marketing/roster-before-rebuild/dune-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"graven","GRAVEN","The Weight of the World","Gravity Controller","mutated","Original: gravity is his native language. He levitates because falling is optional — and his wells swallow the battlefield.","Levitation","29","2","Explicit source","martial","{""kind"":""blink"",""name"":""Mass Shift"",""range"":22}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""helmet"":1,""visor"":1,""collar"":1}","Not declared","{""primary"":""#2b3747"",""secondary"":""#3f6790"",""accent"":""#86b4ff"",""skin"":""#b9c6cc""}","Very High","6","Not declared","LMB: Gravity Shear (cone)
RMB: Event Well (growingorb)
Q: Dense Star (projectile)
E: Displacement (teleport)
H: Zero-G Field (buff)
SHIFT: Slingshot (dash)
R: SINGULARITY SEED (charge)","../marketing/roster-before-rebuild/graven-front.png","../marketing/roster-before-rebuild/graven-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"bulwark","BULWARK","The Living Rampart","Fortress","altered","Original: a one-man fortification. His barrier covers a squad, his walls rewrite the map, and he does not move unless he chooses to.","Ground","25","0","Explicit source","martial","{""kind"":""dash"",""name"":""Groundbreak"",""power"":88}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""helmet"":1,""pauldron"":2,""gaunt"":1,""shield"":1}","[{""kind"":""shieldpack"",""name"":""Aegis Cell"",""cd"":13,""shield"":45,""charges"":2}]","{""primary"":""#75903f"",""secondary"":""#3d485d"",""accent"":""#cad0db"",""skin"":""#c9915a""}","High","9","Not declared","LMB: Rampart Fist (melee)
RMB: Bastion Wall (construct)
Q: Repulse Field (cone)
E: Watchtower (construct)
H: Hold the Line (buff)
SHIFT: Advance (dash)
R: SIEGE END (charge)","../marketing/roster-before-rebuild/bulwark-front.png","../marketing/roster-before-rebuild/bulwark-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"feral","FERAL","The Reclaimed","Beast Rusher","altered","Original: they made him a weapon; the wild took him back. Claws, hide like barbed wire, and a roar that moves crowds.","Combat leap","43","0","Explicit source","martial","{""kind"":""leap"",""name"":""Pounce"",""up"":46,""fwd"":72}","{}","Not declared","{""scale"":1.06,""bulk"":1.15,""broad"":1.13,""head"":0.94,""neck"":1.18,""stance"":1.09}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""mane"":1,""horns"":1,""gaunt"":1}","Not declared","{""primary"":""#b85123"",""secondary"":""#6b3e24"",""accent"":""#ffb649"",""skin"":""#c9915a""}","High","7","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Blood Frenzy"",""cost"":22,""cd"":16,""mult"":1.6,""dur"":9,""heal"":20,""color"":""#ffb03a"",""color2"":""#fff""}}","LMB: Rend (melee)
RMB: Pack Hunt (rush)
Q: Apex Roar (cone)
E: Savage Lunge (melee)
SHIFT: Predator Weave (dash)
R: NO CAGES (rush)","../marketing/roster-before-rebuild/feral-front.png","../marketing/roster-before-rebuild/feral-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"breach","BREACH","Entry Team","Military / Shield Breacher","skilled","[PROPOSED] An armored entry specialist. Flechettes control close range, a concussive launcher opens space, and the shield holds a frontal line. Flank or grab the shield; make the shotgun chase you.","Ground","30","0","Explicit source","thruster","{""kind"":""dash"",""name"":""Entry Roll""}","{}","Not declared","{""scale"":1.02,""bulk"":1.08,""broad"":1.1,""stance"":1.05,""head"":0.97,""neck"":1.05}","{""costume"":""tactical"",""flightStyle"":""thruster"",""hairColor"":""#17242b"",""definition"":0.35}","{""helmet"":1,""visor"":1,""pauldron"":1,""gaunt"":1,""weaponR"":""shotgun"",""shield"":1}","[{""kind"":""flashbang"",""name"":""Breach Flash"",""cd"":12,""charges"":2}]","{""primary"":""#596c51"",""secondary"":""#29392f"",""accent"":""#e5b654"",""skin"":""#8c6042""}","Low","4","Not declared","LMB: Breach Shotgun (rifle)
RMB: Concussion Launcher (projectile)
Q: Shield Check (melee)
E: Entry Charge (mine)
H: Field Dressing (buff)
SHIFT: Entry Roll (dash)
R: Demolition Round (projectile)","../marketing/roster-before-rebuild/breach-front.png","../marketing/roster-before-rebuild/breach-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/military-characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"recon","RECON","Long Sight","Military / Rifle Scout","skilled","[PROPOSED] A mobile rifle scout. Fast blaster fire, a charged sidearm and a deliberate marksman shot reward clean aim. Jump jets buy brief altitude, not permanent flight; a close fighter can overwhelm the light armor.","Ground","36","0","Explicit source","thruster","{""kind"":""dash"",""name"":""Scout Roll""}","{}","Not declared","{""scale"":1.02,""bulk"":1.08,""broad"":1.1,""stance"":1.05,""head"":0.97,""neck"":1.05}","{""costume"":""tactical"",""flightStyle"":""thruster"",""hairColor"":""#17242b"",""equipment"":""soldier"",""definition"":0.35}","{""helmet"":1,""visor"":1,""collar"":1,""weaponR"":""rifle"",""weaponL"":""pistol""}","[{""kind"":""jetcell"",""name"":""Limited Jump Jets"",""cd"":18,""dur"":4,""charges"":2}]","{""primary"":""#576d79"",""secondary"":""#24383f"",""accent"":""#83cbd4"",""skin"":""#bb8d68""}","Low","3","Not declared","LMB: Scout Blaster (rifle)
RMB: Charged Sidearm (charge)
Q: Scoped Marksman Rifle (rifle)
E: Scout Grenade (projectile)
H: Trauma Patch (buff)
SHIFT: Scout Roll (dash)
R: Anti-Armor Rocket (projectile)","../marketing/roster-before-rebuild/recon-front.png","../marketing/roster-before-rebuild/recon-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/military-characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
